2022-10-20 11:19:01.423 | INFO     | __main__:log_table:141 - 
 |       | Price    | Chg % 1D   | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E (TTM)   | EPS (TTM)   | Sector                 | Sector Chg % 1D   |
| AAI   | 7.85THB  | −11.80%    | −1.05THB | —                     | 410.487M | 3.222B              | —            | —          | —          | —                      | -                 |
| NEW   | 7.35THB  | −11.45%    | −0.95THB | Strong Sell           | 35.243M  | 259.037M            | 5.828BTHB    | —          | —          | Finance                | +0.08%            |
| OHTL  | 6.00THB  | −7.69%     | −0.50THB | Sell                  | 4.245M   | 25.472M             | 1.963BTHB    | 167.10     | 0.04THB    | Health Services        | +0.86%            |
| FORTH | 15.8THB  | −6.51%     | −1.1THB  | Strong Sell           | 1.784M   | 28.189M             | 5.372BTHB    | 3595.74    | 0.00THB    | Consumer Non-Durables  | −0.00%            |
| TFG   | 48.25THB | −6.31%     | −3.25THB | Sell                  | 5.39M    | 260.086M            | 48.172BTHB   | 66.88      | 0.77THB    | Electronic Technology  | +3.13%            |
| SSF   | 2.42THB  | −6.20%     | −0.16THB | Buy                   | 7.998M   | 19.354M             | 1.032BTHB    | 28.67      | 0.09THB    | Process Industries     | +0.40%            |
| TC    | 5.30THB  | −6.19%     | −0.35THB | Sell                  | 23.454M  | 124.309M            | 31.945BTHB   | 20.73      | 0.27THB    | Process Industries     | +0.40%            |
| BTNC  | 61.00THB | −6.15%     | −4.00THB | Sell                  | 304      | 18.544K             | 650MTHB      | 11.23      | 5.79THB    | Health Services        | +0.86%            |
| JTS   | 2.24THB  | −5.88%     | −0.14THB | Buy                   | 3.906M   | 8.75M               | 1.092BTHB    | —          | −0.03THB   | Producer Manufacturing | +0.02%            |
2022-11-03 11:14:33.452 | INFO     | __main__:log_table:140 - 
 |        | Price    | Chg % 1D   | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                | Sector Chg % 1D   |
|--------|----------|------------|----------|-----------------------|----------|---------------------|--------------|------------|------------|-----------------------|-------------------|
| TFG    | 4.95THB  | −6.42%     | −0.35THB | Strong Sell           | 45.144M  | 223.912M            | 29.967BTHB   | 19.44      | 0.27THB    | Process Industries    | −0.00%            |
| NFC    | 5.55THB  | −5.93%     | −0.35THB | Neutral               | 3.139M   | 17.424M             | 6.418BTHB    | 16.91      | 0.35THB    | Distribution Services | +0.19%            |
| DEMCO  | 4.36THB  | −5.63%     | −0.26THB | Buy                   | 10.469M  | 45.645M             | 3.374BTHB    | —          | −0.01THB   | Industrial Services   | +0.85%            |
| TAKUNI | 3.56THB  | −5.32%     | −0.20THB | Neutral               | 89.774M  | 319.597M            | 3.008BTHB    | 32.11      | 0.12THB    | Retail Trade          | −0.27%            |
| PDJ    | 3.30THB  | −5.17%     | −0.18THB | Buy                   | 52.535M  | 173.365M            | 1.876BTHB    | 8.92       | 0.39THB    | Consumer Durables     | −0.44%            |
| PTECH  | 22.2THB  | −4.72%     | −1.1THB  | Strong Sell           | 8.8K     | 195.36K             | 5.71BTHB     | —          | −1.40THB   | Commercial Services   | −0.16%            |
| KAMART | 6.10THB  | −4.69%     | −0.30THB | Neutral               | 57.464M  | 350.532M            | 5.632BTHB    | 15.96      | 0.40THB    | Distribution Services | +0.19%            |
| SELIC  | 3.08THB  | −4.35%     | −0.14THB | Neutral               | 39.472M  | 121.573M            | 1.616BTHB    | 36.30      | 0.09THB    | Process Industries    | −0.00%            |
| CENTEL | 47.75THB | −4.02%     | −2.00THB | Sell                  | 15.613M  | 745.522M            | 67.163BTHB   | —          | −0.50THB   | Consumer Services     | −1.05%            |
| FORTH  | 46.50THB | −3.63%     | −1.75THB | Sell                  | 3.26M    | 151.594M            | 45.132BTHB   | 62.66      | 0.77THB    | Electronic Technology | −1.21%            |
2022-11-04 11:14:46.810 | INFO     | __main__:log_table:140 - 
 |        | Price    | Chg % 1D   | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|--------|----------|------------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| NPK    | 13.5THB  | −15.63%    | −2.5THB  | Strong Sell           | 633      | 8.546K              | 158MTHB      | —          | −3.67THB   | Consumer Non-Durables  | −0.25%            |
| BTNC   | 3.70THB  | −5.13%     | −0.20THB | Strong Sell           | 2.052M   | 7.593M              | 2.139BTHB    | 15.54      | 0.25THB    | Producer Manufacturing | +0.60%            |
| ASEFA  | 7.85THB  | −4.27%     | −0.35THB | —                     | 119.768M | 940.178M            | —            | —          | —          | Consumer Non-Durables  | −0.25%            |
| MNIT   | 1.36THB  | −4.23%     | −0.06THB | Strong Sell           | 29.3K    | 39.848K             | 933.846MTHB  | —          | −0.06THB   | Producer Manufacturing | +0.60%            |
| SR     | 1.71THB  | −3.93%     | −0.07THB | Strong Buy            | 13.6K    | 23.256K             | 218.04MTHB   | 29.47      | 0.06THB    | Finance                | +0.59%            |
| TRV    | 5.10THB  | −3.77%     | −0.20THB | Sell                  | 77.4K    | 394.74K             | 3.196BTHB    | 23.61      | 0.22THB    | Commercial Services    | +2.32%            |
| ADVANC | 4.24THB  | −3.64%     | −0.16THB | Buy                   | 1.098M   | 4.655M              | 928.2MTHB    | 24.26      | 0.18THB    | Producer Manufacturing | +0.60%            |
| BA     | 480THB   | −3.61%     | −18THB   | Buy                   | 1.702K   | 816.96K             | 7.549BTHB    | —          | −30.99THB  | Consumer Services      | −0.89%            |
| INTUCH | 148.5THB | −2.94%     | −4.5THB  | Sell                  | 266.642K | 39.596M             | 44.998BTHB   | 11.70      | 13.07THB   | Non-Energy Minerals    | +0.46%            |
| MORE   | 300THB   | −2.91%     | −9THB    | Buy                   | 28.64K   | 8.592M              | 2.38BTHB     | 4.26       | 72.53THB   | Finance                | +0.59%            |
2022-11-05 11:13:09.604 | INFO     | __main__:log_table:140 - 
 |        | Price    | Chg % 1D   | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|--------|----------|------------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| NPK    | 13.5THB  | −15.63%    | −2.5THB  | Strong Sell           | 633      | 8.546K              | 160MTHB      | —          | −3.67THB   | Consumer Non-Durables  | +0.64%            |
| ASEFA  | 3.70THB  | −5.13%     | −0.20THB | Strong Sell           | 2.052M   | 7.593M              | 2.128BTHB    | 20.24      | 0.19THB    | Producer Manufacturing | +0.79%            |
| AAI    | 7.85THB  | −4.27%     | −0.35THB | —                     | 119.768M | 940.178M            | —            | —          | —          | Consumer Non-Durables  | +0.64%            |
| SR     | 1.36THB  | −4.23%     | −0.06THB | Strong Sell           | 29.3K    | 39.848K             | 960.914MTHB  | —          | −0.06THB   | Producer Manufacturing | +0.79%            |
| MNIT   | 1.71THB  | −3.93%     | −0.07THB | Strong Buy            | 13.6K    | 23.256K             | 245.64MTHB   | 29.47      | 0.06THB    | Finance                | −0.24%            |
| STI    | 5.10THB  | −3.77%     | −0.20THB | Sell                  | 77.4K    | 394.74K             | 3.196BTHB    | 23.61      | 0.22THB    | Commercial Services    | +1.23%            |
| TRV    | 4.24THB  | −3.64%     | −0.16THB | Buy                   | 1.098M   | 4.655M              | 924MTHB      | 24.26      | 0.18THB    | Producer Manufacturing | +0.79%            |
| OHTL   | 480THB   | −3.61%     | −18THB   | Buy                   | 1.702K   | 816.96K             | 7.519BTHB    | —          | −30.99THB  | Consumer Services      | +0.68%            |
| SCCC   | 148.5THB | −2.94%     | −4.5THB  | Sell                  | 266.642K | 39.596M             | 45.594BTHB   | 11.70      | 13.07THB   | Non-Energy Minerals    | −0.09%            |
| INSURE | 300THB   | −2.91%     | −9THB    | Buy                   | 28.64K   | 8.592M              | 3.09BTHB     | 4.26       | 72.53THB   | Finance                | −0.24%            |
2022-11-06 11:13:32.232 | INFO     | __main__:log_table:140 - 
 |        | Price    | Chg % 1D   | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|--------|----------|------------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| NPK    | 13.5THB  | −15.63%    | −2.5THB  | Strong Sell           | 633      | 8.546K              | 135MTHB      | —          | −3.67THB   | Consumer Non-Durables  | +0.65%            |
| ASEFA  | 3.70THB  | −5.13%     | −0.20THB | Strong Sell           | 2.052M   | 7.593M              | 2.019BTHB    | 20.24      | 0.19THB    | Producer Manufacturing | +0.80%            |
| AAI    | 7.85THB  | −4.27%     | −0.35THB | —                     | 119.768M | 940.178M            | —            | —          | —          | Consumer Non-Durables  | +0.65%            |
| SR     | 1.36THB  | −4.23%     | −0.06THB | Strong Sell           | 29.3K    | 39.848K             | 920.312MTHB  | —          | −0.06THB   | Producer Manufacturing | +0.80%            |
| MNIT   | 1.71THB  | −3.93%     | −0.07THB | Strong Buy            | 13.6K    | 23.256K             | 235.98MTHB   | 29.47      | 0.06THB    | Finance                | −0.23%            |
| STI    | 5.10THB  | −3.77%     | −0.20THB | Sell                  | 77.4K    | 394.74K             | 3.075BTHB    | 23.61      | 0.22THB    | Commercial Services    | +1.28%            |
| TRV    | 4.24THB  | −3.64%     | −0.16THB | Buy                   | 1.098M   | 4.655M              | 890.4MTHB    | 24.26      | 0.18THB    | Producer Manufacturing | +0.80%            |
| OHTL   | 480THB   | −3.61%     | −18THB   | Buy                   | 1.702K   | 816.96K             | 7.247BTHB    | —          | −30.99THB  | Consumer Services      | +0.70%            |
| SCCC   | 148.5THB | −2.94%     | −4.5THB  | Sell                  | 266.642K | 39.596M             | 44.253BTHB   | 11.93      | 12.83THB   | Non-Energy Minerals    | −0.03%            |
| INSURE | 300THB   | −2.91%     | −9THB    | Buy                   | 28.64K   | 8.592M              | 3BTHB        | 4.26       | 72.53THB   | Finance                | −0.23%            |
2022-11-07 11:15:01.123 | INFO     | __main__:log_table:140 - 
 |        | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|--------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| SNC    | −8.82%     | 15.5THB  | −1.5THB  | Strong Sell           | 5.303M   | 82.189M             | 6.158BTHB    | 7.58       | 2.24THB    | Producer Manufacturing | −0.08%            |
| CSR    | −7.53%     | 33.75THB | −2.75THB | Strong Sell           | 20.019M  | 675.654M            | 29.603BTHB   | 28.48      | 1.30THB    | Distribution Services  | −1.12%            |
| NSL    | −6.82%     | 20.5THB  | −1.5THB  | Sell                  | 4.098M   | 84.009M             | 6.6BTHB      | 29.96      | 0.73THB    | Consumer Non-Durables  | −0.45%            |
| 24CS   | −6.25%     | 3.90THB  | −0.26THB | Sell                  | 7.083M   | 27.623M             | 1.789BTHB    | —          | —          | Distribution Services  | −1.12%            |
| SINGER | −5.73%     | 7.40THB  | −0.45THB | —                     | 91.465M  | 676.838M            | —            | —          | —          | Consumer Non-Durables  | −0.45%            |
| MORE   | −5.29%     | 16.1THB  | −0.9THB  | Strong Sell           | 9.085M   | 146.267M            | 13.84BTHB    | 13.19      | 1.29THB    | Distribution Services  | −1.12%            |
| JMT    | −5.15%     | 18.4THB  | −1.0THB  | Sell                  | 20.846M  | 383.576M            | 32.484BTHB   | —          | −0.14THB   | Retail Trade           | −0.64%            |
| AAI    | −5.04%     | 61.25THB | −3.25THB | Strong Sell           | 19.07M   | 1.168B              | 94.106BTHB   | 53.10      | 1.23THB    | Commercial Services    | −1.61%            |
| U      | −4.59%     | 5.20THB  | −0.25THB | Strong Sell           | 1.123M   | 5.838M              | 1.997BTHB    | 11.93      | 0.46THB    | Retail Trade           | −0.64%            |
| ASIAN  | −4.52%     | 1.48THB  | −0.07THB | Sell                  | 11.898M  | 17.609M             | 1.175BTHB    | —          | −0.30THB   | Finance                | −0.06%            |
2022-11-08 11:14:34.817 | INFO     | __main__:log_table:140 - 
 |        | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|--------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| D      | −8.62%     | 5.30THB  | −0.50THB | Strong Sell           | 9.033M   | 47.873M             | 1.751BTHB    | 149.10     | 0.04THB    | Health Services        | +0.75%            |
| VNG    | −8.15%     | 2.48THB  | −0.22THB | Sell                  | 8.079M   | 20.035M             | 642.006MTHB  | 38.14      | 0.07THB    | Producer Manufacturing | +0.53%            |
| TKT    | −7.32%     | 11.4THB  | −0.9THB  | Sell                  | 94.795M  | 1.081B              | 13.482BTHB   | 31.11      | 0.40THB    | Communications         | −0.97%            |
| THCOM  | −7.20%     | 5.80THB  | −0.45THB | Strong Sell           | 3.502M   | 20.312M             | 10.845BTHB   | 7.22       | 0.87THB    | Distribution Services  | +1.06%            |
| RJH    | −4.82%     | 39.50THB | −2.00THB | —                     | 29.108M  | 1.15B               | —            | —          | —          | —                      | -                 |
| BTNC   | −4.80%     | 2.38THB  | −0.12THB | Sell                  | 2.629M   | 6.257M              | 1BTHB        | 27.78      | 0.09THB    | Process Industries     | +0.53%            |
| CHIC   | −4.73%     | 7.05THB  | −0.35THB | —                     | 91.266M  | 643.426M            | —            | —          | —          | Consumer Non-Durables  | +0.40%            |
| LDC    | −4.55%     | 1.26THB  | −0.06THB | Strong Sell           | 24.487M  | 30.854M             | 792MTHB      | 33.85      | 0.04THB    | Health Services        | +0.75%            |
| ASIAN  | −4.52%     | 2.96THB  | −0.14THB | Sell                  | 8.892M   | 26.321M             | 1.638BTHB    | 13.90      | 0.22THB    | Transportation         | +0.35%            |
| TIDLOR | −4.44%     | 12.9THB  | −0.6THB  | Sell                  | 2.887M   | 37.239M             | 4.455BTHB    | 21.64      | 0.62THB    | Consumer Non-Durables  | +0.40%            |
